route_id,agency_id,"route_short_name","route_long_name","route_desc",route_type,"route_url","route_color","route_text_color"
68556,1,"619","Oelegem - Sint-Antonius - Scholen Malle","scholen Malle - Oelegem/Oelegem - scholen Malle",3,"","771133","FFFFFF"
68557,1,"620","Meerle - Hoogstraten-Antwerpen via Schoten Centrum","Meer - Hoogstraten - Antwerpen/Antwerpen - Hoogstraten - Meer",3,"","BBDD00","000000"
68558,1,"621","Sint-Job - Antwerpen via Schoten Centrum","Sint-Job - Antwerpen/Antwerpen - Sint-Job",3,"","005555","FFFFFF"
68559,1,"629","Schoten - Brecht - scholen Malle","scholen Malle - Brecht - Schoten/Schoten - Brecht - scholen Malle",3,"","C5AA77","000000"
68560,1,"640","Loenhout - Wuustwezel - Brasschaat - Antwerpen","Loenhout - Wuustwezel - Brasschaat - Antwerpen/Antwerpen - Brasschaat - Wuustwezel - Loenhout",3,"","BB0022","FFFFFF"
68561,1,"641","Snelbus Wuustwezel via E19 - Antwerpen","Snelbus Wuustwezel - Antwerpen via E19/Snelbus Antwerpen - Wuustwezel via E19",3,"","DD0077","FFFFFF"
68562,1,"642","Maria ter Heide - Antwerpen via Miksebaan","Maria ter Heide - Antwerpen via Miksebaan/Antwerpen - Maria ter Heide via Miksebaan",3,"","FF88AA","000000"
68564,1,"650","Kapellen - Merksem - Antwerpen Luchtbal","Kapellen - Antwerpen Luchtbal Station/Antwerpen Luchtbal Station - Kapellen",3,"","0044BB","FFFFFF"
68565,1,"651","Merksem Burgemeester Nolf - Merksem Kerkhof","Merksem Kerkhof-Burgemeester Nolf/Merksem Burgemeester Nolf-Kerkhof",3,"","1199DD","FFFFFF"
68567,1,"670","Essen - Kapellen - Merksem","Essen - Kapellen - (Merksem)/(Merksem) - Kapellen - Essen",3,"","FFCC11","000000"
68568,1,"671","Zandvliet - Stabroek - Kalmthout","Kalmthout - Stabroek - Zandvliet/Zandvliet - Stabroek - Kalmthout",3,"","229922","FFFFFF"
68569,1,"674","Stabroek - Wildert - Essen Scholen","Essen - Kalmthout - Stabroek/Stabroek - Kalmthout - Essen",3,"","771133","FFFFFF"
68570,1,"675","Putte - Kalmthout - Wuustwezel","Putte - Kalmthout - Wuustwezel/Wuustwezel - Kalmthout - Putte",3,"","005555","FFFFFF"
68571,1,"676","Essen - Kalmthout - Kapellen","Essen - Kalmthout - Kapellen/Kapellen - Kalmthout - Essen",3,"","FFCCAA","000000"
68573,1,"720","Putte - Kapellen - Hoevenen - Antwerpen","Putte - Kapellen - Ekeren - Antwerpen/Antwerpen - Ekeren - Kapellen - Putte",3,"","DD0077","FFFFFF"
68574,1,"730","Brasschaat De Golf - Ekeren - Antwerpen","Brasschaat - Ekeren - Antwerpen/Antwerpen - Ekeren - Brasschaat",3,"","229922","FFFFFF"
68575,1,"761","Antwerpen - Luithagen","Luithagen - Antwerpen/Antwerpen - Luithagen",3,"","FFCC11","000000"
68576,1,"764","Rooseveltplaats - Van Cauwelaertsluis","P+R Luchtbal - Van Cauwelaertsluis/Van Cauwelaertsluis - P+R Luchtbal",3,"","BBDD00","C5AA77"
68577,1,"762","Antwerpen - Kaai 210 CMB (-AOR)","P+R Luchtbal - Kaai 210 CMB (-AOR)/(-AOR) Kaai 210 CMB - P+R Luchtbal",3,"","995511","FFFFFF"
68578,1,"760","Antwerpen - 6de en 7de havendok","Bevrijdingsdok - Noorderlaan - Antwerpen/Antwerpen - Noorderlaan - Bevrijdingsdok",3,"","005555","FFFFFF"
68579,1,"770","Zandvliet - Hoevenen - Antwerpen","Zandvliet - Stabroek - Hoevenen - Ekeren - Antwerpen/Antwerpen - Ekeren - Hoevenen - Stabroek - Zandvliet",3,"","AACCEE","000000"
68580,1,"771","Zandvliet - Antwerpen via A12","Snelbus Zandvliet - Berendrecht - Antwerpen/Snelbus Antwerpen - Berendrecht - Zandvliet",3,"","1199DD","FFFFFF"
68581,1,"772","Zandvliet - Antwerpen via Schoonbroek","Zandvliet - Hoevenen - Ekeren - Antwerpen via Schoonbroek/Antwerpen - Ekeren - Hoevenen - Zandvliet via Schoonbroek",3,"","0044BB","FFFFFF"
68582,1,"775","Stabroek Pito- Antwerpen","Putte - Stabroek - Hoevenen - Ekeren - Antwerpen/Antwerpen - Ekeren - Hoevenen - Stabroek - Putte",3,"","995511","FFFFFF"
68583,1,"776","Putte - Stabroek - Antwerpen via A12","Snelbus Stabroek - Antwerpen/Snelbus Antwerpen - Stabroek",3,"","991199","FFFFFF"
68584,1,"778","Zandvliet - Merksem Scholen via Bredabaan","Zandvliet - Hoevenen - Ekeren - Merksem Scholen via Bredabaa/Merksem Scholen - Ekeren - Hoevenen - Zandvliet via Bredabaa",3,"","C5AA77","000000"
68585,1,"780","Zandvliet - Kapellen - Brasschaat - Wijnegem","Zandvliet - Kapellen - Brasschaat - Schoten - Wijnegem/Wijnegem - Schoten - Brasschaat - Kapellen - Zandvliet",3,"","0099AA","000000"
68586,1,"781","Hoevenen - Kapellen - Brasschaat","Hoevenen - Kapellen - Brasschaat/Brasschaat - Kapellen - Hoevenen",3,"","BBDD00","000000"
68587,1,"1","Beerse -Turnhout","Beerse - Turnhout/Turnhout - Beerse",3,"","BB0022","FFFFFF"
68588,1,"2","Turnhout Markt - Station - Parkwijk - Den Brand","Den Brand - Parkwijk - Station - Markt/Markt - Station - Parkwijk - Den Brand",3,"","229922","FFFFFF"
68589,1,"1","Mol - Rauw","Mol - Ginderbuiten - Sluis - Rauw/Rauw - Sluis - Ginderbuiten - Mol",3,"","BB0022","FFFFFF"
68590,1,"2","Europawijk - Mol - Achterbos","Achterbos - Mol - Millegem - Europawijk/Europawijk - Millegem - Mol - Achterbos",3,"","229922","FFFFFF"
69221,1,"1","Uitrit lijn 1 Stelplaats - Korenmarkt - Evergem","Evergem - Gent Korenmarkt - Gentbrugge Stelplaats/Gentbrugge Stelplaats - Gent Korenmarkt - Evergem",0,"","BB0022","FFFFFF"
69222,1,"1","Inrit lijn 1 Evergem - Korenmarkt - Stelplaats","Evergem - Gent Korenmarkt - Gentbrugge Stelplaats/Gentbrugge Stelplaats - Gent Korenmarkt - Evergem",0,"","BB0022","FFFFFF"
69223,1,"1","Uitrit lijn 1 Stelplaats - Korenmarkt - Fl Expo","Gent UZ - Korenmarkt - Gentbrugge Stelplaats/Gentbrugge Stelplaats - Gent Korenmarkt - UZ",0,"","BB0022","FFFFFF"
69224,1,"1","Inrit lijn 1 Fl Expo - Korenmarkt - Stelplaats","Gentbrugge Stelplaats - Gent Korenmarkt - UZ/Gent UZ - Korenmarkt - Gentbrugge Stelplaats",0,"","BB0022","FFFFFF"
69225,1,"4","Uitrij tramlijn 4 van GBR112 via Ledeberg+Muide","Stelplaats - Ledeberg - Gent UZ/Gent UZ - Ledeberg - Stelplaats",0,"","229922","FFFFFF"
69226,1,"4","Inrij tramlijn 4 naar GBR112",,0,"","229922","FFFFFF"
69227,1,"4","Gent UZ - Sint-Pietersstation - Ledeberg","Ledeberg - UZ/UZ - Ledeberg",0,"","229922","FFFFFF"
69228,1,"1","Uitrit lijn 1 Stelplaats - Korenmarkt - Wondelgem","Wondelgem - Gent Korenmarkt - Zuid/Gent Zuid - Korenmarkt - Wondelgem",0,"","BB0022","FFFFFF"
69229,1,"1","Inrit lijn 1 Wondelgem - Korenmarkt - Stelplaats","Gentbrugge Stelplaats - Gent Korenmarkt - Wondelgem/Wondelgem - Gent Korenmarkt - Gentbrugge Stelplaats",0,"","BB0022","FFFFFF"
69230,1,"1","Gent Fl. Expo - Gent St.Pieters - Evergem Brielken","Evergem - Gent Sint-Pieters - Gent UZ/Gent UZ - Gent Sint-Pieters - Evergem",0,"","BB0022","FFFFFF"
69231,1,"2","Melle Leeuw - Zwijnaarde","Melle Leeuw - Zwijnaarde/Zwijnaarde - Melle Leeuw",0,"","FFCC11","000000"
69232,1,"3","Mariakerke Post - Gentbrugge Braemkasteel","Gentbrugge Braemkasteel - Mariakerke Post/Mariakerke Post - Gentbrugge Braemkasteel",3,"","BBDD00","000000"
69233,1,"4","Ledeberg -Gent Sint-Pieters-UZ","Ledeberg - UZ/UZ - Ledeberg",0,"","229922","FFFFFF"
69234,1,"5","Gent U.Z. - Van Beverenplein","Gent Van Beverenplein - Gent U.Z./Gent U.Z. - Gent Van Beverenplein",3,"","DD0077","FFFFFF"
69235,1,"6","Gent Watersportbaan - Mariakerke Post","Mariakerke Post - Gent Watersportbaan/Gent Watersportbaan - Mariakerke Post",3,"","0099AA","000000"
69236,1,"8","Gent Arteveldepark - AZ Sint-Lucas","Gent AZ Sint-Lucas - Arteveldepark/Gent Arteveldepark - AZ Sint-Lucas",3,"","AACCEE","000000"
69237,1,"9","Mariakerke Post-Gentbrugge Groeningewijk","Gentbrugge Groeningewijk - Mariakerke Post/Mariakerke Post - Gentbrugge Groeningewijk",3,"","444411","FFFFFF"
69238,1,"1","Gent Flanders Expo - Wondelgem Industrieweg","Wondelgem Industrieweg - Gent UZ/Gent UZ - Wondelgem Industrieweg",0,"","BB0022","FFFFFF"
69244,1,"19","Arteveldepark - Sint-Pieters - Blaarmeersen","Blaarmeersen - Sint-Pieters - Arteveldepark/Arteveldepark - Sint-Pieters - Blaarmeersen",3,"","995511","FFFFFF"
69246,1,"2","Melle Leeuw - Zwijnaarde","Melle Leeuw - Zwijnaarde/Zwijnaarde - Melle Leeuw",0,"","FFCC11","000000"
69247,1,"125","Belbus Zulte - Deinze - Nevele","Belbus Zulte - Deinze - Nevele/Belbus Zulte - Deinze - Nevele",3,"","FFFFFF","000099"
69248,1,"130","Belbus Laarne - Wetteren - Wichelen","Belbus Laarne - Wetteren - Wichelen/Belbus Laarne - Wetteren - Wichelen",3,"","FFFFFF","000099"
69253,1,"38","Blaarmeersen-St. Amandsberg Achtendries","Sint-Amandsberg Achtendries - Gent Blaarmeersen/Gent Blaarmeersen - Sint-Amandsberg Achtendries",3,"","1199DD","FFFFFF"
69254,1,"39","Blaarmeersen-Oostakker Dorp","Oostakker Dorp - Gent Blaarmeersen/Gent Blaarmeersen - Oostakker Dorp",3,"","FFCC11","000000"
69255,1,"140","Belbus Destelbergen - Melle","Belbus Destelbergen - Melle/Belbus Destelbergen - Melle",3,"","FFFFFF","000099"
69256,1,"41","Merelbeke Kwenenbos - Gent Sint-Pietersstation","Gent Sint-Pieters - Merelbeke Kwenenbos/Merelbeke Kwenenbos - Gent Sint-Pieters",3,"","EE8822","FFFFFF"
69257,1,"42","Gent Zuid - Merelbeke - Bottelare- Baaigem","Gent Zuid - Merelbeke - Bottelare - Baaigem/Baaigem - Bottelare - Merelbeke - Gent Zuid",3,"","DD0077","FFFFFF"
69258,1,"43","Bottelare - Melle Karus - Gent Sint-Pietersstation","Gent Sint-Pieters - Melle Karus - Bottelare/Bottelare - Melle Karus - Gent Sint-Pieters",3,"","FF88AA","000000"
69259,1,"44","Gent Zuid - Merelbeke - Melle","Gent Zuid - Merelbeke - Melle/Melle - Merelbeke - Gent Zuid",3,"","991199","FFFFFF"
69260,1,"145","Belbus De Pinte - Sint-Martens-Latem - Nazareth","Belbus De Pinte - Sint-Martens-Latem - Nazareth/Belbus De Pinte - Sint-Martens-Latem - Nazareth",3,"","FFFFFF","000099"
69261,1,"46","Baaigem - Gavere - Oudenaarde","Baaigem - Gavere - Oudenaarde/Oudenaarde - Gavere - Baaigem",3,"","DD0077","FFFFFF"
69262,1,"47","Gent Sint-Pieters - Gavere - Oudenaarde","Gent Sint-Pieters - Gavere -  Oudenaarde/Oudenaarde - Gavere - Gent Sint-Pieters",3,"","229922","FFFFFF"
69263,1,"48","Gent Zuid - Gavere - Dikkelvenne/Beerlegem","Gent Zuid - Gavere - Dikkelvenne/Beerlegem/Dikkelvenne/Beerlegem - Gavere - Gent Zuid",3,"","AACCEE","000000"
69264,1,"49","Gent Sint-Pieters - Herzele - Geraardsbergen","Gent - Herzele - Geraardsbergen/Geraardsbergen - Herzele - Gent",3,"","005555","FFFFFF"
69265,1,"150","Belbus Evergem","Belbus Evergem/Belbus Evergem",3,"","FFFFFF","000099"
69273,1,"160","Belbus Zomergem - Lovendegem - Waarschoot","Belbus Zomergem - Lovendegem - Waarschoot/Belbus Zomergem - Lovendegem - Waarschoot",3,"","FFFFFF","000099"
69282,1,"70","Oostakker - Gent - Zwijnaarde","Oostakker - Gent - Zwijnaarde/Zwijnaarde - Gent - Oostakker",3,"","BB0022","FFFFFF"
69283,1,"71","Oostakker - Gent - Nazareth","Oostakker - Gent - Nazareth Dorp/Nazareth - Gent - Oostakker",3,"","0099AA","000000"
69284,1,"72","Oostakker - Gent - Merelbeke Molenhoek","Oostakker - Gent - Merelbeke Molenhoek/Merelbeke Molenhoek - Gent - Oostakker",3,"","77CCAA","000000"
69287,1,"175","Belbus Oostakker","Belbus Oostakker/Belbus Oostakker",3,"","FFFFFF","000099"
69288,1,"76","De Pinte - Gent - Lochristi - Wachtebeke","Wachtebeke - Lochristi - Gent - De Pinte/De Pinte - Gent - Lochristi - Wachtebeke",3,"","005555","FFFFFF"
69289,1,"77","Deinze - Gent - Lochristi - Beervelde","Beervelde - Lochristi - Gent - Deinze Kerkhof/Deinze - Gent - Lochristi - Beervelde",3,"","0044BB","FFFFFF"
69290,1,"78","Zevergem - De Pinte - Gent - Lochristi - Lokeren","Lokeren - Lochristi - Gent - De Pinte - Zevergem/Zevergem - De Pinte - Gent - Lochristi - Lokeren",3,"","FFCC11","000000"
69291,1,"81","Deinze - Gavere - Zottegem","Deinze - Gavere - Zottegem/Zottegem - Gavere - Deinze",3,"","C5AA77","000000"
69292,1,"84","Deinze - Gavere - Zingem","Deinze - Gavere - Zingem/Zingem - Gavere - Deinze",3,"","005555","FFFFFF"
69293,1,"185","Belbus Aalter - Maldegem - Knesselare","Belbus Maldegem - Aalter - Knesselare/Belbus Maldegem - Aalter - Knesselare",3,"","FFFFFF","000099"
69296,1,"195","Belbus Meetjesland","Belbus Meetjesland/Belbus Meetjesland",3,"","FFFFFF","000099"
69300,1,"1","Waasl Shopping-Tereken-Markt-Station-Clementwijk","Waasland Shopping - Clementwijk/Clementwijk - Waasland Shopping",3,"","BB0022","FFFFFF"
